1+1,10+20-i,10+20-ni,5+10-i,5+10-ni
179769313486231570814527423731704356798070600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000,118.526636,196.231365,89.196394,176.109504
179769313486231570814527423731704356798070600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000,118.526636,196.231365,89.196394,176.109504
179769313486231570814527423731704356798070600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000,79.830968,160.983339,121.978428,207.658835
171.544182,92.562464,158.502700,189.794467,195.565815
204.146941,82.308682,188.775251,137.549390,186.732726
109.835148,86.783333,169.797295,104.832205,185.249566
250.317982,79.570818,162.476160,105.745953,177.141471
217.732359,90.586673,197.215807,88.111521,175.554823
148.229220,78.062788,214.118844,76.833927,175.792233
86.379525,78.334971,188.100670,87.355299,186.658861
